year,state,dem_two_party_share
1956,TN,0.507478572
1956,TX,0.447301204
1956,UT,0.354388539
1956,VA,0.445684992
1956,VT,0.278208959
1956,WA,0.457396679
1956,WI,0.383386825
1956,WV,0.459219745
1956,WY,0.399220154
1960,AK,0.4906
1960,AL,0.572196854
1960,AR,0.538230563
1960,AZ,0.44413296
1960,CA,0.497240341
1960,CO,0.451175407
1960,CT,0.5373
1960,DE,0.508180267
1960,FL,0.4849
1960,GA,0.625587676
1960,HI,0.5003
1960,IA,0.432502752
1960,ID,0.4622
1960,IL,0.500901984
1960,IN,0.447656328
1960,KS,0.392767454
1960,KY,0.4641
1960,LA,0.63814707
1960,MA,0.603588253
1960,MD,0.5361
1960,ME,0.4295
1960,MI,0.510081252
1960,MN,0.507118508
1960,MO,0.5026
1960,MS,0.595640059
1960,MT,0.487462387
1960,NC,0.5211
1960,ND,0.44546728
1960,NE,0.3793
1960,NH,0.4658
1960,NJ,0.504035513
1960,NM,0.503716352
1960,NV,0.5116
1960,NY,0.526352705
1960,OH,0.4672
1960,OK,0.4098
1960,OR,0.473768522
1960,PA,0.511623246
1960,RI,0.6363
1960,SC,0.5124
1960,SD,0.4179
1960,TN,0.463775459
1960,TX,0.510096931
1960,UT,0.451790358
1960,VA,0.472487677
1960,VT,0.4135
1960,WA,0.487822132
1960,WI,0.48136646
1960,WV,0.5273
1960,WY,0.4499
1964,AK,0.6591
1964,AL,0.305152576
1964,AR,0.563587011
1964,AZ,0.494994995
1964,CA,0.591691692
1964,CO,0.616026543
1964,CT,0.678778779
1964,DE,0.611150105
1964,FL,0.5115
1964,GA,0.458745875
1964,HI,0.7876
1964,IA,0.62004008
1964,ID,0.5092
1964,IL,0.5947
1964,IN,0.56238698
1964,KS,0.545537065
1964,KY,0.642283765
1964,LA,0.4319
1964,MA,0.764729499
1964,MD,0.6547
1964,ME,0.688413048
1964,MI,0.668336673
1964,MN,0.639133921
1964,MO,0.6405
1964,MS,0.1286
1964,MT,0.592343248
1964,NC,0.5615
