state,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,black_pct,college_pct,hisp_other_pct,median_age,pct_white_evangel,pop_density,white_pct,wwc_pct,region
AK,0.3565313091750692,0.2640790179557575,0.29867777751017555,0.362709628415519,0.3028711132430195,0.33267113649532326,0.27666339823504693,0.35516861912104364,0.37889373599389325,0.40812659112464433,0.36550871290111986,0.0305105170161056,0.186606459824118,0.354109658594707,33.9,0.22452863048905397,9.91040013581723,0.615379824389187,0.281868217421622,Pacific
AL,0.55727268884473935,0.47448859067804633,0.38280781265064545,0.39863298309147205,0.4088006350485172,0.4315608769582409,0.4156650294789806,0.36844402322377173,0.38740434294574916,0.3835903309875247,0.3435794575797364,0.264070598261596,0.165659850774238,0.0766364769641774,38.7,0.4201849079912597,9.949457819638575,0.659292924774227,0.341400160922872,East South Central
AR,0.6496172812966184,0.4752263062004675,0.38290785001458605,0.4219173216645847,0.5320795284925204,0.5373644915194817,0.4586425626043496,0.44547630445189085,0.3886465976512423,0.36878990301720105,0.33653124129360934,0.153545869230583,0.146889263196353,0.116310783547306,37.9,0.4479227110422084,9.736944986094679,0.73014334722211,0.392439548896823,West South Central
AZ,0.39799978188251545,0.28244683589928427,0.32542643169830887,0.387438741228785,0.3652045259671481,0.4651706594607681,0.4473458501738885,0.44396832928795554,0.4511525087476428,0.44589766941799386,0.4512602184469321,0.0405503949664212,0.188644227134841,0.40343667923358,37.2,0.15876644921198133,11.530550629177567,0.556012925799999,0.273156791551651,Mountain
CA,0.47954821836112543,0.35919436910764124,0.41267775699231596,0.4755944256460335,0.46006587840280944,0.5109886561852729,0.5344973682775446,0.5430555753467436,0.6101263834713425,0.6023895914168964,0.6172639960455788,0.0554464121104341,0.216857711803348,0.565474194329624,36.1,0.10398377782923703,12.239090666747337,0.379079393559942,0.166032383422381,Pacific
CO,0.4260994599792869,0.3107003250453797,0.3512289830011271,0.45282404324122666,0.40128028651907366,0.44426498409348764,0.4239350901130605,0.47037842254288303,0.5366023684069159,0.5149222655161517,0.48156980382847403,0.0386065053759584,0.266066024969286,0.274929233209706,36.5,0.2302819006045589,11.397293916137622,0.686464261414335,0.270576999730894,Mountain
CT,0.46733700964038793,0.3852220566954778,0.3882998159383734,0.4687451936200372,0.42218572959541034,0.5283158147196567,0.5590962813244035,0.543137089719902,0.6058882967612181,0.5808501325885442,0.5456630109670987,0.0975997071062892,0.265184263194823,0.221898423081182,40.8,0.0883408535890877,11.396147410785321,0.680501869812529,0.285644257664117,New England
DC,0.8163122667772316,0.7489317898199426,0.853848775131574,0.8264697190437429,0.8464090485648498,0.8519001109160806,0.8515508137933767,0.8918386895503239,0.9245710975614343,0.9091311392818725,0.9048388386787171,0.468713888198979,0.402181171372014,0.171523711649918,33.9,0.029231076720640358,13.449023511058373,0.359762400151103,0.0250285919948363,South Atlantic
DE,0.5196908870235357,0.4487414498362103,0.3993212136448627,0.4347775630174756,0.43523927905531384,0.518278497839814,0.5497772716309091,0.5334683760228152,0.6194266898150393,0.5861074198458528,0.5335333680563419,0.213419699660497,0.21379904464403,0.156199005649909,39.8,0.16602854089697017,11.027283874808175,0.630381294689594,0.314904019361429,South Atlantic
FL,0.5192610623078361,0.38500219830769633,0.3466024696827862,0.3850721693191546,0.3899012156452978,0.4802557119781926,0.48837821204036147,0.4709111002771423,0.5103330527066491,0.5000786506869869,0.4782331580580505,0.154321778191397,0.201980851886735,0.29706860688099,41.8,0.1933515751198072,11.527324044854888,0.548609614927613,0.287394049455562,South Atlantic
GA,0.6693829485931742,0.5579610534786652,0.3978530524412154,0.394984284444916,0.4346868533599755,0.4584146584952188,0.4321099965624139,0.41374946053378764,0.46990179096065066,0.45507959666882086,0.4563998335736082,0.308824418830903,0.196393127180104,0.155041324258317,36.4,0.281578727442166,10.76425095102102,0.53613425691078,0.252088219192316,South Atlantic
HI,0.5059199934088795,0.4480211812573569,0.43815915627996166,0.5426944007944456,0.48092757790163126,0.5692880151060757,0.5579166791230354,0.5400955215809311,0.7145291011787819,0.7014793244563191,0.6098079805512905,0.0168655189926129,0.221818468295469,0.760825740086575,38.8,0.053675338855577716,11.195558409114147,0.222308740920812,0.0942561431793019,Pacific
IA,0.48458496540694423,0.3860416298273987,0.4588708180375131,0.5471192398259158,0.43285838623305506,0.5026096469015254,0.4719191557860848,0.4923313168421695,0.5392802007386527,0.5198801653414908,0.41752513445496237,0.0334158407903269,0.183581229863552,0.101554086428218,38.1,0.2686099861684407,9.917997387151834,0.865030072781455,0.428645374654197,West North Central
ID,0.37118545633733413,0.25190715792890767,0.2639221294728854,0.36010641419377554,0.2841921205358069,0.3364638985094903,0.27638128843834414,0.3026491704212736,0.3609098763283785,0.3262233355920978,0.27492013820979205,0.00643065087864847,0.172043743872087,0.168096538200468,35.9,0.26960003473371413,10.312906084385611,0.825472810920884,0.396924051587601,Mountain
IL,0.48107590268914247,0.41716408184817594,0.43296553206747834,0.4860455526505115,0.48579677819917283,0.5431527783028726,0.545965212095549,0.5482316020902781,0.6191811452001323,0.5760213536247709,0.558253666987933,0.140526223993012,0.225491317221654,0.240587945444274,37.7,0.14941684414753098,11.708532771509539,0.618885830562714,0.280545467020721,East North Central
IN,0.45700385792947273,0.3765319243739945,0.3768271378985602,0.39686187674102574,0.3679390564346401,0.41557137645749265,0.4101210293083897,0.39262974665336575,0.4994591163968428,0.43927302904058396,0.37774839686752043,0.0913533133225025,0.167257043628026,0.110302372786238,37.5,0.33735345944317646,10.558315945386338,0.79834431389126,0.406850761472892,East North Central
KS,0.44936393675385894,0.33287575462214036,0.32598036577621525,0.4255964488985382,0.3373849413602757,0.3608479940426324,0.3723839226424526,0.3662309430556444,0.41651967194013617,0.3799457055391902,0.36052370732234496,0.0563016991411313,0.210187270560847,0.179099944211418,36.3,0.344544181670901,10.410950668962462,0.764598356647451,0.343355304392146,West North Central
KY,0.5275424926872652,0.4765391582608266,0.39401246581394755,0.4388359469103233,0.4455114207247639,0.4584217848532593,0.4137818258591055,0.39687072981409693,0.4116811378392879,0.37801327834445797,0.3268218833364776,0.078761841217835,0.156534616406924,0.0703898131623533,38.6,0.4308127200869166,10.081893891020842,0.850848345619812,0.453090560115144,East South Central
LA,0.5177499622274604,0.45748231779727505,0.38175392630280136,0.4406455710040892,0.4558453914124838,0.5200999574541791,0.44875332454339917,0.4221586470321228,0.3993291380234511,0.4057746362330215,0.3844956609851397,0.319515913181219,0.15513199316988,0.0903101794997321,36.4,0.29508553287101,10.444701406105127,0.590173907319049,0.302616447312415,East South Central
