date,fight_pk,fighter,kd,kds_received,method,pass,res,rev,round_finished,rounds,sig_reg_mixture,sig_reg_percent,sig_strike_attempts,sig_strike_landed,sig_strike_percent,sig_strikes_avoided,sig_strikes_received,strike_attempts,strike_landed,strike_percent,strikes_avoided,strikes_received,sub_attempts,td_attempts,td_landed,td_percent,tds_defended,tds_received,time,weight_class
2021-01-23,5925,Antonio Carlos Junior,0,0,Decision,0,L,NA,3,3,0.762962962962963,0.38235294117647056,103,34,0.3300970873786408,54,54,135,57,0.4222222222222222,62,73,0,12,1,0.08333333333333333,0,0,05:00:00,Men_Middleweight
2021-01-23,5924,Julianna Pena,0,0,Submission,0,W,NA,3,3,0.3958333333333333,0.664179104477612,76,38,0.5,33,21,192,140,0.7291666666666666,35,28,1,1,1,1,0,3,03:39:00,Women_Bantamweight
2021-01-23,5924,Sara McMann,0,0,Submission,0,L,NA,3,3,0.8571428571428571,0.4188034188034188,54,21,0.3888888888888889,38,38,63,28,0.4444444444444444,52,140,0,3,3,1,0,1,03:39:00,Women_Bantamweight
2021-01-23,5923,Khalil Rountree Jr.,0,0,Decision,0,L,NA,3,3,0.9932885906040269,0.3333333333333333,148,49,0.3310810810810811,114,102,149,50,0.33557046979865773,115,105,0,0,0,0,2,0,05:00:00,Men_Heavyweight
2021-01-23,5923,Marcin Prachnio,0,0,Decision,0,W,NA,3,3,0.9818181818181818,0.47477064220183485,216,102,0.4722222222222222,99,49,220,105,0.4772727272727273,99,50,0,2,0,0,0,0,05:00:00,Men_Heavyweight
2021-01-23,5922,Nik Lentz,0,0,Decision,1,L,NA,3,3,0.927007299270073,0.36363636363636365,127,46,0.36220472440944884,88,82,137,50,0.36496350364963503,98,137,2,5,1,0.2,0,2,05:00:00,Men_Catchweight
2021-01-23,5922,Movsar Evloev,0,0,Decision,0,W,NA,3,3,0.723404255319149,0.5407407407407407,170,82,0.4823529411764706,81,46,235,137,0.5829787234042553,87,50,0,2,2,1,4,1,05:00:00,Men_Catchweight
2021-01-23,5921,Amir Albazi,0,0,Decision,0,W,NA,3,3,0.845,0.43902439024390244,169,68,0.40236686390532544,73,59,200,94,0.47,76,74,0,3,2,0.6666666666666666,2,1,05:00:00,Men_Flyweight
2021-01-23,5921,Zhalgas Zhumagulov,0,0,Decision,0,L,NA,3,3,0.88,0.4716312056737589,132,59,0.44696969696969696,101,68,150,74,0.49333333333333335,106,94,0,3,1,0.3333333333333333,1,2,05:00:00,Men_Flyweight
2021-01-20,5920,Michael Chiesa,0,0,Decision,0,W,NA,5,5,0.416,0.6610169491525424,52,24,0.46153846153846156,38,12,125,93,0.744,44,52,0,6,4,0.6666666666666666,2,1,05:00:00,Men_Welterweight
2021-01-20,5920,Neil Magny,0,0,Decision,0,L,NA,5,5,0.5208333333333334,0.4383561643835616,50,12,0.24,28,24,96,52,0.5416666666666666,32,93,1,3,1,0.3333333333333333,2,4,05:00:00,Men_Welterweight
2021-01-20,5919,Warlley Alves,1,0,KO/TKO,0,W,NA,1,3,0.7,0.803921568627451,21,17,0.8095238095238095,0,2,30,24,0.8,0,2,0,1,1,1,0,0,02:35:00,Men_Welterweight
2021-01-20,5919,Mounir Lazzez,0,1,KO/TKO,0,L,NA,1,3,1,1,2,2,1,4,17,2,2,1,6,24,0,0,0,0,0,1,02:35:00,Men_Welterweight
2021-01-20,5918,Ike Villanueva,1,0,KO/TKO,0,W,NA,2,3,1,0.42857142857142855,56,24,0.42857142857142855,18,24,56,24,0.42857142857142855,18,24,0,0,0,0,0,0,00:39:00,Men_Heavyweight
2021-01-20,5918,Vinicius Moreira,0,1,KO/TKO,0,L,NA,2,3,1,0.5714285714285714,42,24,0.5714285714285714,32,24,42,24,0.5714285714285714,32,24,0,0,0,0,0,0,00:39:00,Men_Heavyweight
2021-01-20,5917,Roxanne Modafferi,0,0,Decision,0,L,NA,3,3,0.9533678756476683,0.2519893899204244,184,46,0.25,112,86,193,49,0.2538860103626943,114,100,0,5,0,0,0,4,05:00:00,Women_Flyweight
2021-01-20,5917,Viviane Araujo,0,0,Decision,0,W,NA,3,3,0.9252336448598131,0.45145631067961167,198,86,0.43434343434343436,138,46,214,100,0.4672897196261682,144,49,1,4,4,1,5,0,05:00:00,Women_Flyweight
2021-01-20,5916,Matt Schnell,0,0,Decision,0,W,NA,3,3,1,0.397196261682243,214,85,0.397196261682243,135,58,214,85,0.397196261682243,135,58,0,0,0,0,0,0,05:00:00,Men_Flyweight
2021-01-20,5916,Tyson Nam,0,0,Decision,0,L,NA,3,3,1,0.3005181347150259,193,58,0.3005181347150259,129,85,193,58,0.3005181347150259,129,85,0,0,0,0,0,0,05:00:00,Men_Flyweight
2021-01-20,5915,Lerone Murphy,0,0,Decision,0,W,NA,3,3,0.8778625954198473,0.43902439024390244,115,48,0.41739130434782606,69,39,131,60,0.4580152671755725,70,51,0,4,1,0.25,1,1,05:00:00,Men_Featherweight
2021-01-20,5915,Douglas Silva de Andrade,0,0,Decision,0,L,NA,3,3,0.8925619834710744,0.3930131004366812,108,39,0.3611111111111111,67,48,121,51,0.4214876033057851,71,60,0,2,1,0.5,3,1,05:00:00,Men_Featherweight
2021-01-20,5914,Omari Akhmedov,0,0,Submission,0,W,NA,2,3,0.4175824175824176,0.7596899224806202,38,25,0.6578947368421053,3,1,91,73,0.8021978021978022,6,6,1,5,2,0.4,1,0,01:41:00,Men_Middleweight
2021-01-20,5914,Tom Breese,0,0,Submission,1,L,NA,2,3,0.3333333333333333,0.4375,4,1,0.25,13,25,12,6,0.5,18,73,3,1,0,0,3,2,01:41:00,Men_Middleweight
2021-01-20,5913,Ricky Simon,0,0,Submission,0,W,NA,2,3,0.463768115942029,0.6633663366336634,32,17,0.53125,8,6,69,50,0.7246376811594203,8,10,1,10,7,0.7,0,0,04:00:00,Men_Bantamweight
2021-01-20,5913,Gaetano Pirrello,0,0,Submission,0,L,NA,2,3,0.7777777777777778,0.5,14,6,0.42857142857142855,15,17,18,10,0.5555555555555556,19,50,0,0,0,0,3,7,04:00:00,Men_Bantamweight
2021-01-20,5912,Su Mudaerji,0,0,Decision,0,W,NA,3,3,1,0.3937007874015748,127,50,0.3937007874015748,95,28,127,50,0.3937007874015748,95,28,0,0,0,0,1,0,05:00:00,Men_Flyweight
2021-01-20,5912,Zarrukh Adashev,0,0,Decision,0,L,NA,3,3,1,0.22764227642276422,123,28,0.22764227642276422,77,50,123,28,0.22764227642276422,77,50,0,1,0,0,0,0,05:00:00,Men_Flyweight
2021-01-20,5911,Dalcha Lungiambula,0,0,Decision,0,W,NA,3,3,0.6632653061224489,0.5521472392638037,65,29,0.4461538461538462,24,25,98,61,0.6224489795918368,25,50,0,2,1,0.5,1,0,05:00:00,Men_Middleweight
2021-01-20,5911,Markus Perez,0,0,Decision,0,L,NA,3,3,0.6533333333333333,0.6048387096774194,49,25,0.5102040816326531,36,29,75,50,0.6666666666666666,37,61,1,1,0,0,1,1,05:00:00,Men_Middleweight
2021-01-20,5910,Francisco Figueiredo,0,0,Decision,0,W,NA,3,3,0.8153846153846154,0.576271186440678,53,29,0.5471698113207547,103,31,65,39,0.6,114,85,0,6,4,0.6666666666666666,5,0,05:00:00,Men_Flyweight
2021-01-20,5910,Jerome Rivera,0,0,Decision,1,L,NA,3,3,0.6733668341708543,0.3483483483483483,134,31,0.23134328358208955,24,29,199,85,0.4271356783919598,26,39,0,5,0,0,2,4,05:00:00,Men_Flyweight
2021-01-20,5909,Mike Davis,0,0,Decision,0,W,NA,3,3,0.9857142857142858,0.5251798561151079,207,108,0.5217391304347826,196,117,210,111,0.5285714285714286,197,132,0,9,3,0.3333333333333333,3,1,05:00:00,Men_Lightweight
2021-01-20,5909,Mason Jones,0,0,Decision,0,L,NA,3,3,0.9513677811550152,0.3878504672897196,313,117,0.3738019169329074,99,108,329,132,0.4012158054711246,99,111,0,4,1,0.25,6,3,05:00:00,Men_Lightweight
2021-01-20,5908,Umar Nurmagomedov,0,0,Submission,0,W,NA,2,3,0.8541666666666666,0.6404494382022472,41,25,0.6097560975609756,23,7,48,32,0.6666666666666666,23,8,1,11,5,0.45454545454545453,0,0,03:39:00,Men_Bantamweight
2021-01-20,5908,Sergey Morozov,0,0,Submission,0,L,NA,2,3,0.967741935483871,0.2459016393442623,30,7,0.23333333333333334,16,25,31,8,0.25806451612903225,16,32,0,0,0,0,6,5,03:39:00,Men_Bantamweight
2021-01-20,5907,Victoria Leonardo,0,0,KO/TKO,0,L,NA,2,3,0.9878048780487805,0.2147239263803681,81,17,0.20987654320987653,47,53,82,18,0.21951219512195122,47,58,0,1,0,0,0,1,04:08:00,Women_Flyweight
2021-01-20,5907,Manon Fiorot,0,0,KO/TKO,0,W,NA,2,3,0.9523809523809523,0.5414634146341464,100,53,0.53,64,17,105,58,0.5523809523809524,64,18,0,1,1,1,1,0,04:08:00,Women_Flyweight
2021-01-16,5906,Max Holloway,0,0,Decision,0,W,NA,5,5,0.9973190348525469,0.5986577181208054,744,445,0.5981182795698925,150,133,746,447,0.599195710455764,150,134,0,1,0,0,2,0,05:00:00,Men_Featherweight
2021-01-16,5906,Calvin Kattar,0,0,Decision,0,L,NA,5,5,0.9964788732394366,0.4708994708994709,283,133,0.46996466431095407,299,445,284,134,0.47183098591549294,299,447,0,2,0,0,1,0,05:00:00,Men_Featherweight
2021-01-16,5905,Carlos Condit,0,0,Decision,1,W,NA,3,3,0.42105263157894735,0.6599326599326599,88,39,0.4431818181818182,9,28,209,157,0.7511961722488039,15,37,0,4,2,0.5,5,1,05:00:00,Men_Welterweight
2021-01-16,5905,Matt Brown,0,0,Decision,0,L,NA,3,3,0.7115384615384616,0.7303370786516854,37,28,0.7567567567567568,49,39,52,37,0.7115384615384616,52,157,0,6,1,0.16666666666666666,2,2,05:00:00,Men_Welterweight
2021-01-16,5904,Santiago Ponzinibbio,0,1,KO/TKO,0,L,NA,1,3,1,0.6111111111111112,18,11,0.6111111111111112,29,21,18,11,0.6111111111111112,29,21,0,0,0,0,0,0,04:25:00,Men_Welterweight
2021-01-16,5904,Li Jingliang,1,0,KO/TKO,0,W,NA,1,3,1,0.42,50,21,0.42,7,11,50,21,0.42,7,11,0,0,0,0,0,0,04:25:00,Men_Welterweight
2021-01-16,5903,Joaquin Buckley,0,1,KO/TKO,0,L,NA,1,3,1,0.13636363636363635,22,3,0.13636363636363635,11,12,22,3,0.13636363636363635,11,12,0,0,0,0,0,0,02:12:00,Men_Middleweight
2021-01-16,5903,Alessio Di Chirico,1,0,KO/TKO,0,W,NA,1,3,1,0.5217391304347826,23,12,0.5217391304347826,19,3,23,12,0.5217391304347826,19,3,0,0,0,0,0,0,02:12:00,Men_Middleweight
2021-01-16,5902,Punahele Soriano,2,0,KO/TKO,0,W,NA,1,3,0.9565217391304348,0.45925925925925926,66,30,0.45454545454545453,35,22,69,32,0.463768115942029,36,23,0,1,0,0,0,0,04:48:00,Men_Middleweight
2021-01-16,5902,Dusko Todorovic,0,2,KO/TKO,0,L,NA,1,3,0.9661016949152542,0.3879310344827586,57,22,0.38596491228070173,36,30,59,23,0.3898305084745763,37,32,0,0,0,0,1,0,04:48:00,Men_Middleweight
2021-01-16,5901,Wu Yanan,0,0,Decision,1,L,NA,3,3,0.8716216216216216,0.4620938628158845,129,58,0.4496124031007752,90,88,148,70,0.47297297297297297,95,111,0,2,1,0.5,3,0,05:00:00,Women_Bantamweight
2021-01-16,5901,Joselyne Edwards,0,0,Decision,1,W,NA,3,3,0.8640776699029126,0.5182291666666666,178,88,0.4943820224719101,71,58,206,111,0.5388349514563107,78,70,1,3,0,0,1,1,05:00:00,Women_Bantamweight
2021-01-16,5900,Carlos Felipe,0,0,Decision,0,W,NA,3,3,1,0.5422535211267606,142,77,0.5422535211267606,62,86,142,77,0.5422535211267606,62,109,0,1,0,0,2,0,05:00:00,Men_Heavyweight
2021-01-16,5900,Justin Tafa,0,0,Decision,0,L,NA,3,3,0.8654970760233918,0.6112852664576802,148,86,0.581081081081081,65,77,171,109,0.6374269005847953,65,77,0,2,0,0,1,0,05:00:00,Men_Heavyweight
2021-01-16,5899,David Zawada,0,0,Decision,0,L,NA,3,3,0.6,0.5197368421052632,114,44,0.38596491228070173,48,53,190,114,0.6,59,101,0,1,1,1,5,4,05:00:00,Men_Welterweight
2021-01-16,5899,Ramazan Emeev,0,0,Decision,1,W,NA,3,3,0.63125,0.5900383141762452,101,53,0.5247524752475248,70,44,160,101,0.63125,76,114,0,9,4,0.4444444444444444,0,1,05:00:00,Men_Welterweight
2021-01-16,5898,Sarah Moras,0,0,Decision,0,L,NA,3,3,1,0.22,200,44,0.22,113,56,200,44,0.22,113,56,0,1,0,0,0,0,05:00:00,Women_Bantamweight
2021-01-16,5898,Vanessa Melo,0,0,Decision,0,W,NA,3,3,1,0.33136094674556216,169,56,0.33136094674556216,156,44,169,56,0.33136094674556216,156,44,0,0,0,0,1,0,05:00:00,Women_Bantamweight
2021-01-16,5897,Jacob Kilburn,0,1,Decision,0,L,NA,3,3,0.9305555555555556,0.3405275779376499,201,64,0.31840796019900497,87,95,216,78,0.3611111111111111,87,110,1,18,1,0.05555555555555555,1,1,05:00:00,Men_Featherweight
2021-01-16,5897,Austin Lingo,1,0,Decision,0,W,NA,3,3,0.9238578680203046,0.5408970976253298,182,95,0.521978021978022,137,64,197,110,0.5583756345177665,138,78,0,2,1,0.5,17,1,05:00:00,Men_Featherweight
2020-12-19,5896,Stephen Thompson,0,0,Decision,0,W,NA,5,5,0.9485981308411215,0.434052757793765,406,171,0.4211822660098522,94,85,428,191,0.4462616822429907,95,110,0,0,0,0,0,0,05:00:00,Men_Welterweight
2020-12-19,5896,Geoff Neal,0,0,Decision,0,L,NA,5,5,0.8731707317073171,0.5078125,179,85,0.4748603351955307,235,171,205,110,0.5365853658536586,237,191,0,0,0,0,0,0,05:00:00,Men_Welterweight
2020-12-19,5895,Jose Aldo,0,0,Decision,0,W,NA,3,3,0.813953488372093,0.6666666666666666,70,44,0.6285714285714286,36,46,86,60,0.6976744186046512,41,92,0,2,0,0,3,0,05:00:00,Men_Bantamweight
2020-12-19,5895,Marlon Vera,0,0,Decision,0,L,NA,3,3,0.6165413533834586,0.641860465116279,82,46,0.5609756097560976,26,44,133,92,0.6917293233082706,26,60,0,3,0,0,2,0,05:00:00,Men_Bantamweight
2020-12-19,5894,Michel Pereira,0,0,Decision,0,W,NA,3,3,0.8404255319148937,0.5780346820809249,79,44,0.5569620253164557,72,55,94,56,0.5957446808510638,72,62,1,2,2,1,0,0,05:00:00,Men_Welterweight
2020-12-19,5894,Khaos Williams,0,0,Decision,0,L,NA,3,3,0.9477611940298507,0.4482758620689655,127,55,0.4330708661417323,35,44,134,62,0.4626865671641791,38,56,0,0,0,0,0,2,05:00:00,Men_Welterweight
2020-12-19,5893,Marlon Moraes,0,1,KO/TKO,0,L,NA,1,3,0.75,0.75,12,9,0.75,7,30,16,12,0.75,8,33,0,3,2,0.6666666666666666,0,0,03:47:00,Men_Bantamweight
2020-12-19,5893,Rob Font,1,0,KO/TKO,1,W,NA,1,3,0.9024390243902439,0.8076923076923077,37,30,0.8108108108108109,3,9,41,33,0.8048780487804879,4,12,0,0,0,0,1,2,03:47:00,Men_Bantamweight
