k,fighter,elo,match_id,date,weight_class
20,Al Iaquinta,1546.949232282561,2004,2015-04-04,Lightweight
20,Al Iaquinta,1555.6060902191807,1020,2017-04-22,Lightweight
20,Al Iaquinta,1544.3090707375443,586,2018-04-07,Lightweight
20,Al Iaquinta,1552.7668477901502,237,2018-12-15,Lightweight
20,Al Iaquinta,1541.550256990652,51,2019-05-04,Lightweight
20,Alan Belcher,1490,4554,2006-08-26,Middleweight
20,Alan Belcher,1500.28774368332,4499,2006-12-13,Middleweight
20,Alan Belcher,1490.2794617562658,4445,2007-04-07,Middleweight
20,Alan Belcher,1500.5591683591538,4428,2007-05-26,Light Heavyweight
20,Alan Belcher,1510.5430742139463,4346,2007-10-20,Middleweight
20,Alan Belcher,1500.2397132552496,4260,2008-04-19,Middleweight
20,Alan Belcher,1509.9533508596614,4175,2008-09-17,Middleweight
20,Alan Belcher,1519.666948740023,4106,2009-01-17,Middleweight
20,Alan Belcher,1509.1014922768384,4000,2009-07-11,Middleweight
20,Alan Belcher,1518.8395901779024,3903,2009-12-12,Catch Weight
20,Alan Belcher,1528.2978740193457,3808,2010-05-08,Middleweight
20,Alan Belcher,1537.4851919819266,3454,2011-09-17,Middleweight
20,Alan Belcher,1546.4104483730962,3238,2012-05-05,Middleweight
20,Alan Belcher,1535.3662911370106,3007,2012-12-29,Middleweight
20,Alan Belcher,1524.3518687433905,2877,2013-04-27,Middleweight
20,Alan Jouban,1510,2314,2014-08-16,Welterweight
20,Alan Jouban,1499.71225631668,2185,2014-11-08,Welterweight
20,Alan Jouban,1509.7205382437342,2040,2015-02-28,Welterweight
20,Alan Jouban,1519.4408316408462,1849,2015-07-15,Welterweight
20,Alan Jouban,1508.8818627794692,1755,2015-10-03,Welterweight
20,Alan Jouban,1518.626277893312,1548,2016-03-19,Welterweight
20,Alan Jouban,1528.0906835415653,1433,2016-07-07,Welterweight
20,Alan Jouban,1537.2839258263366,1162,2016-12-17,Welterweight
20,Alan Jouban,1526.2149085666651,1059,2017-03-18,Welterweight
20,Alan Jouban,1515.192000931827,884,2017-08-05,Welterweight
20,Alan Jouban,1524.7550184596644,624,2018-02-24,Welterweight
20,Alan Jouban,1514.043715027891,90,2019-04-13,Welterweight
20,Alan Omer,1490,2507,2014-04-11,Featherweight
20,Alan Omer,1480.28774368332,1893,2015-06-20,Featherweight
20,Alan Patrick,1510,2731,2013-10-09,Lightweight
20,Alan Patrick,1520.0218874932316,2578,2014-02-01,Lightweight
20,Alan Patrick,1509.4462483278949,1892,2015-06-20,Lightweight
20,Alan Patrick,1519.1744304194792,1553,2016-03-19,Lightweight
20,Alan Patrick,1528.623105570478,1303,2016-09-24,Lightweight
20,Alan Patrick,1537.801125150996,660,2018-02-03,Lightweight
20,Alan Patrick,1526.7173941695905,356,2018-10-06,Lightweight
20,Albert Cheng,1490,2548,2014-03-01,Welterweight
20,Albert Morales,1500,1317,2016-09-17,Bantamweight
20,Albert Morales,1490,1222,2016-11-19,Bantamweight
20,Albert Morales,1500.28774368332,1091,2017-03-04,Bantamweight
20,Albert Morales,1490.2794617562658,929,2017-07-16,Bantamweight
20,Albert Morales,1480.5591683591538,724,2017-12-09,Bantamweight
20,Albert Morales,1471.1181372205308,628,2018-02-24,Bantamweight
20,Albert Tumenov,1500.2551508396004,2571,2014-02-15,Welterweight
20,Albert Tumenov,1510.2478070094242,2464,2014-05-10,Welterweight
20,Albert Tumenov,1519.6737108447792,2226,2014-10-04,Welterweight
20,Albert Tumenov,1529.108060375097,2084,2015-01-24,Welterweight
20,Albert Tumenov,1538.272217742072,1632,2016-01-02,Welterweight
20,Albert Tumenov,1527.4908427642354,1495,2016-05-08,Welterweight
20,Albert Tumenov,1516.7012398574036,1277,2016-10-08,Welterweight
20,Alberta Cerra Leon,1490,5131,1994-03-11,Open Weight
20,Alberto Crane,1490,4380,2007-08-25,Lightweight
